Cumulative People,Type,Date,Country/Region,Subregion Code,Province/State,Lat,Long,Hospitalized (Symptoms),Intensive Care,Total Hospitalized,Home Isolation,Active Confirmed Cases,Newly Confirmed,Swabs
0,Deaths,3/1/2020 5:00:00 PM,Italy,6,Friuli Venezia Giulia,45.6494354,13.76813649,0,0,0,6,6,6,243
0,Deaths,3/1/2020 5:00:00 PM,Italy,12,Lazio,41.89277044,12.48366722,3,0,3,0,3,0,724
0,Deaths,3/1/2020 5:00:00 PM,Italy,7,Liguria,44.41149315,8.9326992,12,1,13,8,21,-17,121
24,Deaths,3/1/2020 5:00:00 PM,Italy,3,Lombardia,45.46679409,9.190347404,406,106,512,375,887,335,6879
0,Deaths,3/1/2020 5:00:00 PM,Italy,11,Marche,43.61675973,13.5188753,12,5,17,8,25,14,101
0,Deaths,3/1/2020 5:00:00 PM,Italy,14,Molise,41.55774754,14.65916051,0,0,0,0,0,0,6
0,Deaths,3/1/2020 5:00:00 PM,Italy,1,Piemonte,45.0732745,7.680687483,11,2,13,36,49,38,362
0,Deaths,3/1/2020 5:00:00 PM,Italy,16,Puglia,41.12559576,16.86736689,1,0,1,2,3,0,262
0,Deaths,3/1/2020 5:00:00 PM,Italy,20,Sardegna,39.21531192,9.110616306,0,0,0,0,0,0,29
0,Deaths,3/1/2020 5:00:00 PM,Italy,19,Sicilia,38.11569725,13.3623567,1,0,1,6,7,5,291
0,Deaths,3/1/2020 5:00:00 PM,Italy,9,Toscana,43.76923077,11.25588885,7,0,7,5,12,2,572
0,Deaths,3/1/2020 5:00:00 PM,Italy,4,P.A. Trento,46.06893511,11.12123097,0,0,0,0,0,0,122
0,Deaths,3/1/2020 5:00:00 PM,Italy,10,Umbria,43.10675841,12.38824698,0,0,0,2,2,2,35
0,Deaths,3/1/2020 5:00:00 PM,Italy,2,Valle d'Aosta,45.73750286,7.320149366,0,0,0,0,0,0,10
2,Deaths,3/1/2020 5:00:00 PM,Italy,5,Veneto,45.43490485,12.33845213,51,13,64,197,261,72,9056
0,Deaths,3/2/2020 6:00:00 PM,Italy,13,Abruzzo,42.35122196,13.39843823,3,0,3,2,5,0,52
0,Deaths,3/2/2020 6:00:00 PM,Italy,17,Basilicata,40.63947052,15.80514834,0,0,0,0,0,0,39
0,Deaths,3/2/2020 6:00:00 PM,Italy,4,P.A. Bolzano,46.49933453,11.35662422,1,0,1,0,1,0,20
0,Deaths,3/2/2020 6:00:00 PM,Italy,18,Calabria,38.90597598,16.59440194,0,0,0,1,1,0,39
0,Deaths,3/2/2020 6:00:00 PM,Italy,15,Campania,40.83956555,14.25084984,4,0,4,13,17,0,373
11,Deaths,3/2/2020 6:00:00 PM,Italy,8,Emilia Romagna,44.49436681,11.3417208,148,16,164,160,324,47,1973
0,Deaths,3/2/2020 6:00:00 PM,Italy,6,Friuli Venezia Giulia,45.6494354,13.76813649,0,0,0,9,9,3,269
0,Deaths,3/2/2020 6:00:00 PM,Italy,12,Lazio,41.89277044,12.48366722,3,0,3,1,4,1,773
0,Deaths,3/2/2020 6:00:00 PM,Italy,7,Liguria,44.41149315,8.9326992,12,1,13,5,18,-3,121
38,Deaths,3/2/2020 6:00:00 PM,Italy,3,Lombardia,45.46679409,9.190347404,478,127,605,472,1077,190,7925
1,Deaths,3/2/2020 6:00:00 PM,Italy,11,Marche,43.61675973,13.5188753,17,6,23,11,34,9,137
0,Deaths,3/2/2020 6:00:00 PM,Italy,14,Molise,41.55774754,14.65916051,0,0,0,0,0,0,13
0,Deaths,3/2/2020 6:00:00 PM,Italy,1,Piemonte,45.0732745,7.680687483,12,2,14,37,51,2,434
0,Deaths,3/2/2020 6:00:00 PM,Italy,16,Puglia,41.12559576,16.86736689,2,0,2,2,4,1,278
0,Deaths,3/2/2020 6:00:00 PM,Italy,20,Sardegna,39.21531192,9.110616306,0,0,0,0,0,0,29
0,Deaths,3/2/2020 6:00:00 PM,Italy,19,Sicilia,38.11569725,13.3623567,2,0,2,3,5,-2,307
0,Deaths,3/2/2020 6:00:00 PM,Italy,9,Toscana,43.76923077,11.25588885,7,0,7,5,12,0,613
0,Deaths,3/2/2020 6:00:00 PM,Italy,4,P.A. Trento,46.06893511,11.12123097,0,0,0,0,0,0,122
0,Deaths,3/2/2020 6:00:00 PM,Italy,10,Umbria,43.10675841,12.38824698,0,0,0,2,2,0,35
0,Deaths,3/2/2020 6:00:00 PM,Italy,2,Valle d'Aosta,45.73750286,7.320149366,0,0,0,0,0,0,11
2,Deaths,3/2/2020 6:00:00 PM,Italy,5,Veneto,45.43490485,12.33845213,53,14,67,204,271,10,9782
0,Deaths,3/3/2020 6:00:00 PM,Italy,13,Abruzzo,42.35122196,13.39843823,5,0,5,1,6,1,52
0,Deaths,3/3/2020 6:00:00 PM,Italy,17,Basilicata,40.63947052,15.80514834,0,0,0,1,1,1,42
0,Deaths,3/3/2020 6:00:00 PM,Italy,4,P.A. Bolzano,46.49933453,11.35662422,1,0,1,0,1,0,20
0,Deaths,3/3/2020 6:00:00 PM,Italy,18,Calabria,38.90597598,16.59440194,0,0,0,1,1,0,39
0,Deaths,3/3/2020 6:00:00 PM,Italy,15,Campania,40.83956555,14.25084984,11,0,11,19,30,13,405
18,Deaths,3/3/2020 6:00:00 PM,Italy,8,Emilia Romagna,44.49436681,11.3417208,187,24,211,187,398,74,2012
0,Deaths,3/3/2020 6:00:00 PM,Italy,6,Friuli Venezia Giulia,45.6494354,13.76813649,1,0,1,12,13,4,354
0,Deaths,3/3/2020 6:00:00 PM,Italy,12,Lazio,41.89277044,12.48366722,10,0,10,1,11,7,877
1,Deaths,3/3/2020 6:00:00 PM,Italy,7,Liguria,44.41149315,8.9326992,12,2,14,5,19,1,121
55,Deaths,3/3/2020 6:00:00 PM,Italy,3,Lombardia,45.46679409,9.190347404,698,167,865,461,1326,249,9577
2,Deaths,3/3/2020 6:00:00 PM,Italy,11,Marche,43.61675973,13.5188753,27,13,40,19,59,25,200
0,Deaths,3/3/2020 6:00:00 PM,Italy,14,Molise,41.55774754,14.65916051,3,0,3,0,3,3,13
0,Deaths,3/3/2020 6:00:00 PM,Italy,1,Piemonte,45.0732745,7.680687483,13,3,16,40,56,5,458
0,Deaths,3/3/2020 6:00:00 PM,Italy,16,Puglia,41.12559576,16.86736689,2,0,2,4,6,2,298
0,Deaths,3/3/2020 6:00:00 PM,Italy,20,Sardegna,39.21531192,9.110616306,1,0,1,0,1,1,29
0,Deaths,3/3/2020 6:00:00 PM,Italy,19,Sicilia,38.11569725,13.3623567,2,0,2,3,5,0,307
0,Deaths,3/3/2020 6:00:00 PM,Italy,9,Toscana,43.76923077,11.25588885,10,0,10,8,18,6,697
0,Deaths,3/3/2020 6:00:00 PM,Italy,4,P.A. Trento,46.06893511,11.12123097,1,0,1,3,4,4,122
0,Deaths,3/3/2020 6:00:00 PM,Italy,10,Umbria,43.10675841,12.38824698,1,1,2,6,8,6,45
0,Deaths,3/3/2020 6:00:00 PM,Italy,2,Valle d'Aosta,45.73750286,7.320149366,0,0,0,0,0,0,12
3,Deaths,3/3/2020 6:00:00 PM,Italy,5,Veneto,45.43490485,12.33845213,49,19,68,229,297,26,10176
0,Deaths,3/4/2020 5:00:00 PM,Italy,13,Abruzzo,42.35122196,13.39843823,7,0,7,0,7,1,85
0,Deaths,3/4/2020 5:00:00 PM,Italy,17,Basilicata,40.63947052,15.80514834,0,0,0,1,1,0,48
0,Deaths,3/4/2020 5:00:00 PM,Italy,4,P.A. Bolzano,46.49933453,11.35662422,1,0,1,0,1,0,20
0,Deaths,3/4/2020 5:00:00 PM,Italy,18,Calabria,38.90597598,16.59440194,0,0,0,1,1,0,46
0,Deaths,3/4/2020 5:00:00 PM,Italy,15,Campania,40.83956555,14.25084984,11,0,11,20,31,1,429
22,Deaths,3/4/2020 5:00:00 PM,Italy,8,Emilia Romagna,44.49436681,11.3417208,256,26,282,234,516,118,2500
0,Deaths,3/4/2020 5:00:00 PM,Italy,6,Friuli Venezia Giulia,45.6494354,13.76813649,3,0,3,15,18,5,376
0,Deaths,3/4/2020 5:00:00 PM,Italy,12,Lazio,41.89277044,12.48366722,15,3,18,9,27,16,995
1,Deaths,3/4/2020 5:00:00 PM,Italy,7,Liguria,44.41149315,8.9326992,10,3,13,8,21,2,133
73,Deaths,3/4/2020 5:00:00 PM,Italy,3,Lombardia,45.46679409,9.190347404,877,209,1086,411,1497,171,12138
4,Deaths,3/4/2020 5:00:00 PM,Italy,11,Marche,43.61675973,13.5188753,34,15,49,31,80,21,288
0,Deaths,3/4/2020 5:00:00 PM,Italy,14,Molise,41.55774754,14.65916051,3,0,3,0,3,0,19
0,Deaths,3/4/2020 5:00:00 PM,Italy,1,Piemonte,45.0732745,7.680687483,26,13,39,43,82,26,543
1,Deaths,3/4/2020 5:00:00 PM,Italy,16,Puglia,41.12559576,16.86736689,4,0,4,3,7,1,322
0,Deaths,3/4/2020 5:00:00 PM,Italy,20,Sardegna,39.21531192,9.110616306,1,0,1,1,2,1,42
0,Deaths,3/4/2020 5:00:00 PM,Italy,19,Sicilia,38.11569725,13.3623567,5,0,5,11,16,11,367
0,Deaths,3/4/2020 5:00:00 PM,Italy,9,Toscana,43.76923077,11.25588885,15,2,17,20,37,19,776
0,Deaths,3/4/2020 5:00:00 PM,Italy,4,P.A. Trento,46.06893511,11.12123097,1,0,1,4,5,1,122
0,Deaths,3/4/2020 5:00:00 PM,Italy,10,Umbria,43.10675841,12.38824698,1,1,2,7,9,1,58
0,Deaths,3/4/2020 5:00:00 PM,Italy,2,Valle d'Aosta,45.73750286,7.320149366,0,0,0,0,0,0,15
6,Deaths,3/4/2020 5:00:00 PM,Italy,5,Veneto,45.43490485,12.33845213,76,23,99,246,345,48,10515
0,Deaths,3/5/2020 5:00:00 PM,Italy,13,Abruzzo,42.35122196,13.39843823,8,0,8,0,8,1,96
0,Deaths,3/5/2020 5:00:00 PM,Italy,17,Basilicata,40.63947052,15.80514834,0,0,0,1,1,0,54
0,Deaths,3/5/2020 5:00:00 PM,Italy,4,P.A. Bolzano,46.49933453,11.35662422,1,0,1,0,1,0,20
0,Deaths,3/5/2020 5:00:00 PM,Italy,18,Calabria,38.90597598,16.59440194,1,0,1,1,2,1,53
0,Deaths,3/5/2020 5:00:00 PM,Italy,15,Campania,40.83956555,14.25084984,12,0,12,33,45,14,471
30,Deaths,3/5/2020 5:00:00 PM,Italy,8,Emilia Romagna,44.49436681,11.3417208,327,32,359,299,658,142,2884
0,Deaths,3/5/2020 5:00:00 PM,Italy,6,Friuli Venezia Giulia,45.6494354,13.76813649,4,0,4,17,21,3,397
0,Deaths,3/5/2020 5:00:00 PM,Italy,12,Lazio,41.89277044,12.48366722,20,7,27,14,41,14,1175
3,Deaths,3/5/2020 5:00:00 PM,Italy,7,Liguria,44.41149315,8.9326992,11,3,14,7,21,0,146
98,Deaths,3/5/2020 5:00:00 PM,Italy,3,Lombardia,45.46679409,9.190347404,1169,244,1413,364,1777,280,12354
4,Deaths,3/5/2020 5:00:00 PM,Italy,11,Marche,43.61675973,13.5188753,57,19,76,44,120,40,413
0,Deaths,3/5/2020 5:00:00 PM,Italy,14,Molise,41.55774754,14.65916051,4,0,4,3,7,4,24
